k,burst,wallet,ok,sendMs,miningMs,totalMs,gasUsed,blockNumber
25,0,0x01a698965cd5415b6F02d76B405DA0558Be82cEa,1,1139.19,9973.08,11112.27,3084424,44401059
25,0,0x8dd2E72B27241fb2aB37DEBa84A501B08aFD29eb,1,839.21,10493.16,11332.37,3084424,44401059
25,0,0xAED75eAE61C8D62BA917D40E120A5d8b9Ed13A6E,1,893.26,10624.71,11517.97,3084424,44401059
25,1,0xA9F4f81ed7CAf02c43834B6984dcC15ed3FF7912,1,1380.55,7526.57,8907.12,3084424,44401070
25,1,0x44C5Df7465E2ADCE50eAD2e6773d14bd391d12Aa,1,1564.73,7493.32,9058.05,3084424,44401070
25,1,0xb61F6ddEe17A84C415E64F2934A9721e1d20074E,1,1870.03,7487.30,9357.34,3084424,44401070
25,1,0xB0FB545D5B4E86Ae0a6C92F6C670511F7930eEfa,1,1569.25,7936.55,9505.80,3084424,44401070
25,1,0x8b32a4195Fe6b036AcE5b1fF93512a4e11B8aa1b,1,1269.34,8530.55,9799.89,3084424,44401070
25,1,0x52c02e89991d37b4E5EDC88232d201a77E250F4e,1,1415.87,8370.41,9786.28,3084412,44401071
25,1,0x1472868c459656bEa7De8Bdb8644Ad21E7685C13,1,1116.90,8844.79,9961.69,3084424,44401071
25,1,0xC98b6A7BB52BCf7D92e003604d843C6C1d1e9a83,1,1226.03,8716.54,9942.57,3084424,44401071
25,1,0x84505bc7b4a0DC810B08751920Bf457729A62f6B,1,925.62,9183.51,10109.12,3084412,44401071
25,1,0x29a54cEE9547Ef787034567391D2B3AF8f1E2A50,1,963.25,9143.35,10106.60,3084424,44401071
25,1,0xAeAE931031E2FF6120D555BDF6212021Dd9E844c,1,1007.87,9081.25,10089.12,3084412,44401071
25,1,0xb536E4FdF6542513BF32FCDc3Be59B2DEDe4ea81,1,1254.67,9003.91,10258.58,3084424,44401071
25,1,0x7944216BE15297371F32E04A2A9Dc7a2B7E856De,0,,,10259.72,,
25,1,0xada303f0B657E05B7565FEeB6895be2f72b41a86,0,,,10233.61,,
25,1,0xFb6922D1Eb51178a87E89b13633b40D754654552,0,,,10257.55,,
25,1,0x341949BA61696B97873959903832b39157C20852,0,,,10256.24,,
25,1,0x5f477249301E26761388972513798A4D3511155e,0,,,10232.57,,
25,1,0x88fcA509b50874fe638eeaB02B173cf1689F2835,0,,,10257.30,,
25,1,0x52fddd283Af97cd8F511fc30d49A0b06E4648bA0,0,,,10254.42,,
25,1,0xDFB11e087Ef8495d61be5028e1a720783D71D9AB,0,,,10255.57,,
25,1,0x46c078872B5c5c38dBA3e9E3f049dc341307524d,0,,,10228.18,,
25,1,0xA37d54a0391A317281d782a12F6D2375e9BDAA3f,0,,,10230.70,,
25,1,0x01a698965cd5415b6F02d76B405DA0558Be82cEa,0,,,10237.06,,
25,1,0x8dd2E72B27241fb2aB37DEBa84A501B08aFD29eb,0,,,10214.22,,
25,1,0xAED75eAE61C8D62BA917D40E120A5d8b9Ed13A6E,0,,,10185.98,,
25,2,0xA9F4f81ed7CAf02c43834B6984dcC15ed3FF7912,1,1495.60,7251.72,8747.32,3084424,44401082
25,2,0x44C5Df7465E2ADCE50eAD2e6773d14bd391d12Aa,1,1194.46,7539.31,8733.77,3084424,44401082
25,2,0xb61F6ddEe17A84C415E64F2934A9721e1d20074E,1,1269.99,7593.26,8863.25,3084412,44401083
25,2,0xB0FB545D5B4E86Ae0a6C92F6C670511F7930eEfa,1,970.67,8027.40,8998.07,3084424,44401083
25,2,0x8b32a4195Fe6b036AcE5b1fF93512a4e11B8aa1b,1,1209.70,7919.16,9128.87,3084412,44401083
25,2,0x52c02e89991d37b4E5EDC88232d201a77E250F4e,1,1471.93,7689.53,9161.46,3084424,44401083
25,2,0x1472868c459656bEa7De8Bdb8644Ad21E7685C13,1,1172.39,8282.59,9454.98,3084424,44401083
25,2,0xC98b6A7BB52BCf7D92e003604d843C6C1d1e9a83,1,1379.70,8209.87,9589.57,3084424,44401084
25,2,0x84505bc7b4a0DC810B08751920Bf457729A62f6B,1,1613.13,8111.02,9724.14,3084424,44401084
25,2,0x29a54cEE9547Ef787034567391D2B3AF8f1E2A50,1,1312.84,8604.82,9917.66,3084424,44401084
25,2,0xAeAE931031E2FF6120D555BDF6212021Dd9E844c,1,1382.59,8696.15,10078.74,3084424,44401084
