k,burst,wallet,ok,sendMs,miningMs,totalMs,gasUsed,blockNumber
500,0,0x96d523E648Fd21C41e358Fb6f43954B215Bb122D,1,21669.88,1088.56,22758.45,3084412,94038
500,0,0x71e048C9854640111ecb82c7E9F8C16d4d835566,1,21669.04,1100.73,22769.78,3084412,94039
500,0,0x8fB70363Bb7d9D4c725178d810F7D778A65AECd1,1,21668.95,1113.01,22781.96,3084412,94040
500,0,0xF06990255544136Ab87E79981E61b2F2d98E68e2,1,21668.91,1125.00,22793.90,3084412,94041
500,0,0x23C55a418416B7274ebcF33fB8a75fB01305fDE1,1,21668.79,1137.33,22806.12,3084412,94042
500,0,0x9C82654e9dB5cfF927071ca4d002BF6590a6B141,1,21668.73,1149.68,22818.41,3084412,94043
500,0,0xFd5acD1399547720404EA47B0553d316E9a958df,1,21668.69,1161.81,22830.50,3084412,94044
500,0,0xb5119Dd02cBf32F8eB8d46e01B33fFAc94B54EA3,1,21668.66,1174.09,22842.75,3084412,94045
500,0,0x7CB21a8d8fCd60E6B0b4A3975C97F00EEEC6aA11,1,21668.63,1186.24,22854.87,3084412,94046
500,0,0xf874afA90627dC80ad8216c4A5a44D65FDFE1940,1,21668.56,1198.89,22867.45,3084412,94047
500,0,0x4C01D0a26563C1F8A9E4Ca06cF1A75C9C619210C,1,21668.47,1211.15,22879.62,3084412,94048
500,0,0x20dA6C0a9908c2C8D0D3ca68153fCe1De68897B7,1,21668.39,1223.65,22892.04,3084400,94049
500,0,0x2792eA78E690BF8289700BA885c0932504f11a09,1,21668.36,1236.08,22904.44,3084412,94050
500,0,0x096fe611b3a4e05Eb6c7923e55792E77f051102E,1,21668.34,1252.97,22921.31,3084400,94051
500,0,0x727D10E6BB742904969d3cfE406300F207d408b2,1,21668.32,1265.86,22934.18,3084412,94052
500,0,0xeF05e783127121948D08b741F648Dc485558Fa88,1,21668.30,1278.11,22946.41,3084412,94053
500,0,0x5F40C4c4d098f8Fc5e40d2151E19c824e32384B4,1,21668.28,1290.20,22958.48,3084412,94054
500,0,0xEB4A337c6C6FB21B5bec8Bf6222e7Fc49003EF89,1,21668.26,1302.60,22970.86,3084400,94055
500,0,0x1E8A8F44Ffd8221e2262b7C44a5eb10731B5A851,1,21668.25,1315.00,22983.25,3084412,94056
500,0,0x5BCD941e64050545805fa72DD74e9eD7485c1211,1,21668.23,1327.30,22995.53,3084412,94057
500,0,0x38d251F9CADDA2e34C8353f8585Fca62De6Eb387,1,21668.19,1339.75,23007.93,3084412,94058
500,0,0x2Bc96Da73D2B307Fe0b958977C0Fe6a5bBf330CF,1,21668.16,1351.75,23019.91,3084412,94059
500,0,0xFa0267a0F17dcaf0c1140336723d1f424Ba2EbE6,1,21668.14,1364.34,23032.49,3084412,94060
500,0,0x086eff17F8D24e21D153580BD7323A1D3414619c,1,21668.13,1376.24,23044.37,3084412,94061
500,0,0x7e53d8081057616AadB5eda51bD216536B913490,1,21668.11,1388.37,23056.48,3084412,94062
500,0,0xDD4464E7751899C51247Eac177dB75121e481cb6,1,21668.10,1400.81,23068.91,3084412,94063
500,0,0x6f13Fe82917e5377B8a54E4D011F6208DDFFd190,1,21668.08,1413.08,23081.16,3084412,94064
500,0,0x9697455e805dc57d75cf7A599ed03C7C24B67D09,1,21668.03,1425.37,23093.40,3084412,94065
500,0,0x516FB5C91dF386BE0c27a8Eb20763e1A1563a829,1,21668.01,1437.43,23105.44,3084412,94066
500,0,0x5971e63544B94bD0b42b037C24E4fA468D49D762,1,21667.99,1449.55,23117.54,3084412,94067
500,0,0x9DDe61595A0DCe25CFe30EdE85CEbA06A25Aaa31,1,21667.97,1461.54,23129.51,3084412,94068
500,0,0x45f4faA5D226BCc1dB587f0F028A8d85f61D89bE,1,21667.96,1473.86,23141.81,3084412,94069
500,0,0xdcC0C20d0Aa5C69c244B1a045bd9261B9026D545,1,21667.94,1486.10,23154.04,3084412,94070
500,0,0xe50998a16FA02b5340aA08157d1E1dcA092cfaEE,1,21667.93,1498.11,23166.04,3084412,94071
500,0,0xFF7d003fe3DF13dd8008c0EAe2d4D3F5Ca031520,1,21667.91,1509.69,23177.60,3084412,94072
500,0,0xc2cf84fd0c52E12fa2301e722F30286fbA1eE0fA,1,21667.90,1521.87,23189.77,3084412,94073
500,0,0xD9384E5D77D21Aa972ad8baa1bfC9f57f9DF220E,1,21667.88,1534.35,23202.23,3084412,94074
500,0,0x41DC1fCCc605187b97a8B517f65D02Cf2daE4ebb,1,21667.86,1545.93,23213.79,3084400,94075
500,0,0x6d85A92D60cAA85A4821ab345C3509Ea360F37f3,1,21667.85,1558.26,23226.11,3084412,94076
500,0,0xDF40D48462a23E48502D2c2f07a0c40D30004364,1,21667.83,1569.42,23237.26,3084412,94077
500,0,0x09BA561d0Ad864334f93d5150Ce2507a01e4B051,1,21667.82,1581.63,23249.45,3084400,94078
500,0,0xA899F99c76A578431506D3268B505f2aC961C153,1,21667.81,1594.67,23262.48,3084412,94079
500,0,0x1f4790d6C434D74E8E74376b6f56AED1516C9F53,1,21667.79,1607.14,23274.93,3084412,94080
500,0,0x71490Cd2eFDB09108Af1C31F14758306E31264A6,1,21667.78,1619.35,23287.13,3084412,94081
500,0,0xf7C527E00e6c204DA6AA358e36fAC02e6E9d17a4,1,21667.76,1630.47,23298.23,3084412,94082
500,0,0x02B4dd9130f0E9CD092Ea1A0a4aCD32f640E6eE6,1,21667.75,1643.00,23310.74,3084412,94083
500,0,0x7DA73b241199509d0d73b5a8efC2B257907F1ab6,1,21667.73,1655.41,23323.14,3084412,94084
