version,iteration,operation,gasUsed,latencyMs,costETH,memDeltaKB
privacy,1,makeOrder,3035781,13617.1822,0.000003036,-14124.77
privacy,1,prepareOrder,134568,21978.4251,0.000000135,770.40
privacy,1,confirmIntention,225314,13757.4148,0.000000225,-278.35
privacy,1,addInformation,773542,9711.4514,0.000000774,153.07
privacy,1,pickupOrder,59220,13873.3655,0.000000059,468.97
privacy,1,deliveryOrder,1536273,13875.4829,0.000001536,32.16
privacy,1,zkProof_client,0,1094.9634,0.000000000,1468.02
privacy,1,submitRating_client,283473,9385.3398,0.000000283,-1109.97
privacy,1,zkProof_restaurant,0,804.1684,0.000000000,47.84
privacy,1,submitRating_restaurant,283461,21707.5832,0.000000283,1073.98
privacy,2,makeOrder,3035781,13573.4413,0.000003036,428.01
privacy,2,prepareOrder,134568,9589.1628,0.000000135,-260.06
privacy,2,confirmIntention,225314,13731.7251,0.000000225,450.13
privacy,2,addInformation,773542,9743.4282,0.000000774,-317.70
privacy,2,pickupOrder,59220,13865.8144,0.000000059,28.33
privacy,2,deliveryOrder,1541475,13856.3541,0.000001541,68.87
privacy,2,zkProof_client,0,787.5109,0.000000000,-713.02
privacy,2,submitRating_client,283449,9325.7567,0.000000283,672.59
privacy,2,zkProof_restaurant,0,761.7062,0.000000000,-604.65
privacy,2,submitRating_restaurant,283461,13471.2622,0.000000283,638.22
privacy,3,makeOrder,3035781,9453.2666,0.000003036,699.90
privacy,3,prepareOrder,134568,13759.5014,0.000000135,-522.15
privacy,3,confirmIntention,225314,9665.4054,0.000000225,217.76
privacy,3,addInformation,773542,13885.8903,0.000000774,517.43
privacy,3,pickupOrder,59220,14077.2612,0.000000059,-331.34
privacy,3,deliveryOrder,1536273,9725.8130,0.000001536,20.60
privacy,3,zkProof_client,0,819.4916,0.000000000,-143.20
privacy,3,submitRating_client,283485,9313.6410,0.000000283,476.38
privacy,3,zkProof_restaurant,0,786.0888,0.000000000,-805.25
privacy,3,submitRating_restaurant,283485,13498.5475,0.000000283,352.48
privacy,4,makeOrder,3035781,13572.7591,0.000003036,32.34
privacy,4,prepareOrder,134568,9639.2625,0.000000135,-313.89
privacy,4,confirmIntention,225314,13717.4922,0.000000225,65.77
privacy,4,addInformation,773542,9711.4789,0.000000774,487.80
privacy,4,pickupOrder,59220,13838.5706,0.000000059,-538.40
privacy,4,deliveryOrder,1536273,9685.4152,0.000001536,433.02
privacy,4,zkProof_client,0,780.2384,0.000000000,-697.39
privacy,4,submitRating_client,283473,13459.1513,0.000000283,-198.23
privacy,4,zkProof_restaurant,0,771.1140,0.000000000,-253.34
privacy,4,submitRating_restaurant,283461,9365.5159,0.000000283,374.98
privacy,5,makeOrder,3035781,13704.4976,0.000003036,384.39
privacy,5,prepareOrder,134568,13686.3318,0.000000135,-614.77
privacy,5,confirmIntention,225314,9583.0756,0.000000225,26.29
privacy,5,addInformation,773542,26262.5772,0.000000774,415.85
privacy,5,pickupOrder,59220,9712.7316,0.000000059,477.87
privacy,5,deliveryOrder,1531071,13805.3347,0.000001531,-421.20
privacy,5,zkProof_client,0,746.5118,0.000000000,-429.41
privacy,5,submitRating_client,283485,9324.3512,0.000000283,91.98
privacy,5,zkProof_restaurant,0,737.0346,0.000000000,31.55
privacy,5,submitRating_restaurant,283473,13455.3074,0.000000283,-481.91
no-privacy,1,makeOrder,1896941,13582.9204,0.000001897,1140.52
no-privacy,1,prepareOrder,107230,10817.9197,0.000000107,87.55
no-privacy,1,confirmIntention,106501,9600.3811,0.000000107,357.45
no-privacy,1,pickupOrder,59225,13812.4056,0.000000059,697.11
no-privacy,1,deliveryOrder,59261,9715.4285,0.000000059,54.27
no-privacy,2,makeOrder,1896941,13547.4817,0.000001897,328.75
no-privacy,2,prepareOrder,107218,38676.5916,0.000000107,223.52
no-privacy,2,confirmIntention,106489,9694.6721,0.000000106,-327.88
no-privacy,2,pickupOrder,59213,13805.2770,0.000000059,203.35
no-privacy,2,deliveryOrder,59249,10335.3612,0.000000059,-62.81
no-privacy,3,makeOrder,1896941,13585.0503,0.000001897,284.03
no-privacy,3,prepareOrder,107230,9547.7368,0.000000107,25.52
no-privacy,3,confirmIntention,106501,13694.9027,0.000000107,142.44
no-privacy,3,pickupOrder,59225,13809.2812,0.000000059,260.25
no-privacy,3,deliveryOrder,59261,9714.0349,0.000000059,-553.02
no-privacy,4,makeOrder,1896941,13554.5089,0.000001897,321.21
no-privacy,4,prepareOrder,107230,21922.7042,0.000000107,60.93
no-privacy,4,confirmIntention,106501,13686.4379,0.000000107,195.83
no-privacy,4,pickupOrder,59225,9736.0633,0.000000059,-516.69
no-privacy,4,deliveryOrder,59261,13785.6211,0.000000059,445.89
no-privacy,5,makeOrder,1896941,13575.7391,0.000001897,72.97
no-privacy,5,prepareOrder,107218,9512.0277,0.000000107,536.55
no-privacy,5,confirmIntention,106489,13739.1616,0.000000106,-610.09
no-privacy,5,pickupOrder,59213,9677.4299,0.000000059,232.94
no-privacy,5,deliveryOrder,59249,13810.2278,0.000000059,19.60
