k,burst,wallet,ok,sendMs,miningMs,totalMs,gasUsed,blockNumber
1,0,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,1,3.18,12043.87,12047.05,3101524,92
1,1,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,1,3.13,9957.67,9960.80,3084424,93
1,2,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,1,3.16,10010.66,10013.82,3084424,94
1,3,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,1,3.29,10008.44,10011.73,3084424,95
1,4,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,1,3.49,9963.23,9966.72,3084424,96
5,0,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,1,14.14,11995.96,12010.10,3084424,97
5,0,0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,1,14.06,11996.37,12010.43,3084424,97
5,0,0x976EA74026E726554dB657fA54763abd0C3a0aa9,1,14.06,11997.01,12011.07,3084424,97
5,0,0x14dC79964da2C08b23698B3D3cc7Ca32193d9955,1,14.03,11997.55,12011.58,3084412,97
5,0,0x23618e81E3f5cdF7f54C3d65f7FBc0aBf5B21E8f,1,14.36,11997.98,12012.34,3084412,97
5,1,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,1,9.01,9991.85,10000.86,3084424,98
5,1,0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,1,8.79,9992.41,10001.20,3084424,98
5,1,0x976EA74026E726554dB657fA54763abd0C3a0aa9,1,8.81,9993.57,10002.38,3084424,98
5,1,0x14dC79964da2C08b23698B3D3cc7Ca32193d9955,1,8.42,9992.94,10001.36,3084424,98
5,1,0x23618e81E3f5cdF7f54C3d65f7FBc0aBf5B21E8f,1,8.38,9993.37,10001.75,3084424,98
5,2,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,1,7.86,9996.57,10004.43,3084424,99
5,2,0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,1,9.15,9996.52,10005.67,3084424,99
5,2,0x976EA74026E726554dB657fA54763abd0C3a0aa9,1,6.98,9996.86,10003.84,3084412,99
5,2,0x14dC79964da2C08b23698B3D3cc7Ca32193d9955,1,6.96,9997.42,10004.38,3084424,99
5,2,0x23618e81E3f5cdF7f54C3d65f7FBc0aBf5B21E8f,1,8.39,9996.86,10005.25,3084424,99
5,3,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,1,8.10,9986.97,9995.06,3084424,100
5,3,0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,1,7.94,9987.18,9995.12,3084424,100
5,3,0x976EA74026E726554dB657fA54763abd0C3a0aa9,1,7.86,9987.55,9995.41,3084424,100
5,3,0x14dC79964da2C08b23698B3D3cc7Ca32193d9955,1,7.82,9987.88,9995.70,3084424,100
5,3,0x23618e81E3f5cdF7f54C3d65f7FBc0aBf5B21E8f,1,7.92,9988.19,9996.12,3084424,100
5,4,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,1,8.88,10009.42,10018.30,3084424,101
5,4,0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,1,8.60,10010.11,10018.71,3084424,101
5,4,0x976EA74026E726554dB657fA54763abd0C3a0aa9,1,8.47,10010.71,10019.18,3084424,101
5,4,0x14dC79964da2C08b23698B3D3cc7Ca32193d9955,1,8.57,10011.66,10020.22,3084424,101
5,4,0x23618e81E3f5cdF7f54C3d65f7FBc0aBf5B21E8f,1,8.33,10011.08,10019.41,3084424,101
10,0,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,1,13.68,11951.41,11965.10,3084424,102
10,0,0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,1,13.39,11951.68,11965.07,3084424,102
10,0,0x976EA74026E726554dB657fA54763abd0C3a0aa9,1,13.33,11952.01,11965.34,3084424,102
10,0,0x14dC79964da2C08b23698B3D3cc7Ca32193d9955,1,13.32,11952.27,11965.59,3084424,102
10,0,0x23618e81E3f5cdF7f54C3d65f7FBc0aBf5B21E8f,1,13.22,11952.55,11965.77,3084424,102
10,0,0xa0Ee7A142d267C1f36714E4a8F75612F20a79720,1,13.18,11954.32,11967.50,3084424,102
10,0,0xBcd4042DE499D14e55001CcbB24a551F3b954096,1,13.14,11952.74,11965.89,3084424,102
10,0,0x71bE63f3384f5fb98995898A86B02Fb2426c5788,1,13.11,11953.26,11966.37,3084424,102
10,0,0xFABB0ac9d68B0B445fB7357272Ff202C5651694a,1,13.50,11954.15,11967.66,3084424,102
10,0,0x1CBd3b2770909D4e10f157cABC84C7264073C9Ec,1,13.28,11953.50,11966.78,3084424,102
10,1,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,1,13.11,9984.73,9997.84,3084424,103
10,1,0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,1,13.61,9987.85,10001.46,3084424,103
10,1,0x976EA74026E726554dB657fA54763abd0C3a0aa9,1,12.76,9985.15,9997.91,3084424,103
10,1,0x14dC79964da2C08b23698B3D3cc7Ca32193d9955,1,12.80,9985.40,9998.20,3084412,103
10,1,0x23618e81E3f5cdF7f54C3d65f7FBc0aBf5B21E8f,1,12.74,9986.06,9998.80,3084424,103
10,1,0xa0Ee7A142d267C1f36714E4a8F75612F20a79720,1,12.65,9986.07,9998.71,3084424,103
10,1,0xBcd4042DE499D14e55001CcbB24a551F3b954096,1,12.60,9986.46,9999.06,3084424,103
10,1,0x71bE63f3384f5fb98995898A86B02Fb2426c5788,1,11.99,9986.93,9998.92,3084424,103
10,1,0xFABB0ac9d68B0B445fB7357272Ff202C5651694a,1,11.91,9987.14,9999.05,3084412,103
10,1,0x1CBd3b2770909D4e10f157cABC84C7264073C9Ec,1,11.89,9987.61,9999.49,3084424,103
10,2,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,1,13.43,9982.03,9995.46,3084424,104
10,2,0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,1,13.19,9982.34,9995.53,3084424,104
10,2,0x976EA74026E726554dB657fA54763abd0C3a0aa9,1,13.40,9984.47,9997.87,3084424,104
10,2,0x14dC79964da2C08b23698B3D3cc7Ca32193d9955,1,13.03,9982.90,9995.93,3084412,104
10,2,0x23618e81E3f5cdF7f54C3d65f7FBc0aBf5B21E8f,1,12.99,9983.38,9996.36,3084424,104
10,2,0xa0Ee7A142d267C1f36714E4a8F75612F20a79720,1,12.96,9983.67,9996.63,3084400,104
10,2,0xBcd4042DE499D14e55001CcbB24a551F3b954096,1,13.10,9984.69,9997.79,3084424,104
10,2,0x71bE63f3384f5fb98995898A86B02Fb2426c5788,1,12.33,9983.88,9996.21,3084424,104
10,2,0xFABB0ac9d68B0B445fB7357272Ff202C5651694a,1,12.42,9983.95,9996.37,3084424,104
10,2,0x1CBd3b2770909D4e10f157cABC84C7264073C9Ec,1,13.58,9983.69,9997.27,3084412,104
10,3,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,1,17.66,9976.52,9994.18,3084424,105
10,3,0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,1,18.77,9978.59,9997.36,3084424,105
10,3,0x976EA74026E726554dB657fA54763abd0C3a0aa9,1,17.62,9976.52,9994.15,3084424,105
10,3,0x14dC79964da2C08b23698B3D3cc7Ca32193d9955,1,17.77,9976.81,9994.58,3084424,105
10,3,0x23618e81E3f5cdF7f54C3d65f7FBc0aBf5B21E8f,1,17.16,9976.98,9994.13,3084424,105
10,3,0xa0Ee7A142d267C1f36714E4a8F75612F20a79720,1,17.13,9977.23,9994.36,3084424,105
10,3,0xBcd4042DE499D14e55001CcbB24a551F3b954096,1,17.12,9977.50,9994.62,3084424,105
