version,iteration,operation,gasUsed,latencyMs,costETH,memDeltaKB
no-privacy,2,prepareOrder,107230,13694.8773,0.000000107,-455.02
no-privacy,2,confirmIntention,106501,13718.4313,0.000000107,435.41
no-privacy,2,pickupOrder,59225,10003.0362,0.000000059,425.32
no-privacy,2,deliveryOrder,59261,14010.3416,0.000000059,-253.07
no-privacy,3,makeOrder,1896941,9730.0664,0.000001898,126.86
no-privacy,3,prepareOrder,107230,11037.4375,0.000000107,-36.21
no-privacy,3,confirmIntention,106501,13611.0188,0.000000107,79.17
no-privacy,3,pickupOrder,59225,9559.7536,0.000000059,330.12
no-privacy,3,deliveryOrder,59261,13953.6997,0.000000059,-447.25
no-privacy,4,makeOrder,1896941,13764.3338,0.000001898,312.52
no-privacy,4,prepareOrder,107230,10854.4920,0.000000107,-41.42
no-privacy,4,confirmIntention,106501,13691.2584,0.000000107,92.37
no-privacy,4,pickupOrder,59225,9671.6248,0.000000059,395.40
no-privacy,4,deliveryOrder,59261,9766.5497,0.000000059,-607.41
no-privacy,5,makeOrder,1896941,13387.1507,0.000001898,135.70
no-privacy,5,prepareOrder,107230,13668.3088,0.000000107,-190.36
no-privacy,5,confirmIntention,106501,9550.2844,0.000000107,271.13
no-privacy,5,pickupOrder,59225,13678.4810,0.000000059,466.67
no-privacy,5,deliveryOrder,59261,13811.3183,0.000000059,-484.45
